,error0
0,69.2
1,5.0
2,2.0
3,2.0
4,2.0
5,3.0
6,2.5
7,2.5
8,3.6666666666666665
9,1.6666666666666667
10,3.0
11,4.0
12,1.0
13,6.0
14,3.3333333333333335
15,6.75
16,30752.6
17,4.0
18,6.0
19,4.0
20,1.6666666666666667
21,8.0
22,7.0
23,4.0
24,8.75
25,4.0
26,46693.75
27,105309.8
28,1.0
29,12.0
30,13.181818181818182
31,17.0
32,4.0
33,3.0
34,1.2
35,9.0
36,2.5
37,1.6666666666666667
38,4.0
39,7.0
40,7.0
41,9.0
42,4800.916666666667
43,2.5
44,10.333333333333334
45,2.5
46,6.0
47,2.25
48,4.5
49,7.0
50,10.0
51,21115.125
52,4.444444444444445
53,1.4
54,1.5
55,3.0
56,6.0
57,4.0
58,1.0
59,6.4
60,2.25
61,1.0588235294117647
62,5.25
63,3.6666666666666665
64,1.5
65,8.0
66,4.0
67,2.0
68,16.0
69,19.6
70,107.83333333333333
71,2.1666666666666665
72,4.5
73,5.0
74,3.0
75,5.0
76,7.0
77,3.0
78,3.0
79,3.25
80,5.333333333333333
81,9.0
82,9.0
83,15.733333333333333
84,5.0
85,99.66666666666667
86,7.0
87,1.0
88,2.0
89,4.5
90,9.0
91,9.0
92,6.0
93,1.6
94,5.0
95,11.0
96,3.0
97,1.0
98,1.6
99,1.6666666666666667
100,1.0
101,1.4
102,5.0
103,5.5
104,4.5
105,8.0
106,1.6
107,1.0
108,11.0
109,3.0
110,7.0
111,6.0
112,6.0
113,1.2
114,6.0
115,4.333333333333333
116,4.0
117,1.5
118,2.0
119,2.0
120,4.0
121,1.25
122,2.0
123,3.5
124,7.0
125,8.0
126,1.4285714285714286
127,52.54545454545455
128,12.0
129,7.0
130,5.0
131,6.0
132,9.0
133,6.0
134,6.0
135,1.3333333333333333
136,7.0
137,16.0
138,4.0
139,5.0
140,3.0
141,1.0
142,4.0
143,3.0
144,1.3333333333333333
145,2.0
146,2.0
147,183.16666666666666
148,4.285714285714286
149,2.0
150,8.0
151,6.0
152,8.0
153,3.0
154,8.0
155,24.666666666666668
156,4.0
157,1.25
158,6.0
159,10.0
160,1.5
161,2892.5
162,8.0
163,2.3333333333333335
164,3.0
165,32.0
166,2.5
167,2.4
168,2.5714285714285716
169,1.2
170,4.0
171,3.142857142857143
172,3.0
173,3.0
174,2.0
175,7.0
176,3.0
177,3.0
178,48572.0
179,1.5
180,1.8571428571428572
181,18.0
182,27044.75
183,1.0
184,4.0
185,8.0
186,9.0
187,1.8888888888888888
188,2.8
189,90.0
190,6.0
191,5.0
192,5.0
193,1.5
194,7.0
195,3.0
196,805.5
197,6.0
198,6.0
199,3.0
200,10.0
201,46164.25
202,4.0
203,1.5
204,3.0
205,2.0
206,6.0
207,2.25
208,2.0
209,2.0
210,94856.0
211,2.0
212,2.0
213,9.0
214,6.0
215,6.0
216,183583.0
217,1.0
218,5.0
219,2.6363636363636362
220,9.0
221,2.6666666666666665
222,7.0
223,4.2
224,731.6666666666666
225,239.77777777777777
226,4.0
227,1.3333333333333333
228,2.0
229,10.0
230,8.0
231,8.0
232,6.0
233,5.0
234,1.3333333333333333
235,1.5
236,1.6
237,128341.5
238,8.0
239,50668.666666666664
240,6.0
241,5.0
242,1.4
243,6.0
244,55428.71428571428
245,3.0
246,4.0
247,5.0
248,1.3333333333333333
249,7.0
250,2.0
251,7005.0
252,4728.0
253,51.0
254,2.75
255,4.5
256,10.0
257,6.0
258,8.0
259,8.0
260,7.0
261,3.0
262,2.0
263,8.727272727272727
264,5.5
265,4.5
266,32494.875
267,6.0
268,21706.0
269,5.0
270,205.875
271,8.0
272,7.0
273,1055.5555555555557
274,1.3333333333333333
275,3.0
276,1.0
277,1.6666666666666667
278,3.1666666666666665
279,5.0
280,6.0
281,2.0
282,5.0
283,1.25
284,4.0
285,1.6666666666666667
286,1.25
287,7.0
288,4.5
289,1.6
290,192.0
291,5.0
292,5.333333333333333
293,4.0
294,1.0
295,4.0
296,79.44444444444444
297,4.0
298,296.0
299,6.0
300,4.0
301,1.5
302,6.0
303,7.0
304,1.8333333333333333
305,1.2
306,4.0
307,2.8333333333333335
308,3.8
309,2.5
310,3.0
311,1.3333333333333333
312,6.0
313,1.0
314,1.4
315,51.42857142857143
316,6.6
317,7.0
318,2.0
319,2.25
320,3.6666666666666665
321,6.0
322,8.0
323,4.0
324,1.0
325,10.0
326,2.0
327,1.6666666666666667
328,17.4
329,8.75
330,4.0
331,13.555555555555555
332,3.0
333,5.0
334,1.3333333333333333
335,8.0
336,1.0
337,2.25
338,5.0
339,1.5
340,30208.5
341,6.0
342,7.0
343,3.0
344,23.666666666666668
345,37.333333333333336
346,47613.166666666664
347,6.0
348,1.0
349,6.0
350,2.5
351,3.5
352,6.428571428571429
353,4.0
354,15.0
355,1.9090909090909092
356,4.0
357,2.3333333333333335
358,8.0
359,5.0
360,10.0
361,8.0
362,8.0
363,4.0
364,3.0
365,21.0
366,3.0
367,5.0
368,9.0
369,1.0
370,1960.25
371,3.0
372,2.0
373,3.0
374,24.6
375,6.0
376,3.0
377,1.5
378,3.3333333333333335
379,4.5
380,1.3333333333333333
381,5534.75
382,4.0
383,3.0
384,7.0
385,11751.5
386,1.0
387,7.0
388,1.5
389,1.5714285714285714
390,1.6666666666666667
391,1.0
392,4.0
393,6.833333333333333
394,6.0
395,118404.125
396,18420.14285714286
397,2.5
398,44226.375
399,6.0
400,10.0
401,7.0
402,13.0
403,4.0
404,2.0
405,18.0
406,12.0
407,3.0
408,15.0
409,5.5
410,6.5
411,4.0
412,2.0
413,1.2
414,7.0
415,1.2
416,3.0
417,13.428571428571429
418,7.0
419,6.0
420,3.1666666666666665
421,8.0
422,4.0
423,1.5555555555555556
424,6.0
425,1.6666666666666667
426,6.0
427,15.0
428,8.0
429,6.0
430,2.0
431,4.0
432,12.0
433,1.6666666666666667
434,8.0
435,5.0
436,1.6666666666666667
437,2.0
438,4.0
439,4.0
440,2.0
441,4.0
442,4.0
443,1.1666666666666667
444,2.5
445,7.0
446,2.5
447,33071.2
448,5.0
449,3.0
450,385.75
451,13.0
452,2.0
453,63.0
454,77.6923076923077
455,4.0
456,4.0
457,3.0
458,6.0
459,4.0
460,3.0
461,1.4
462,7.0
463,493.22222222222223
464,13.333333333333334
465,4.0
466,5.0
467,2.3333333333333335
468,1.8
469,10.0
470,3.6666666666666665
471,20.0
472,5.0
473,5.0
474,4.0
475,24.4
476,5.0
477,9.0
478,2.0
479,1.5
480,1.4285714285714286
481,6.0
482,13.833333333333334
483,10.0
484,5.3076923076923075
485,1.4166666666666667
486,2.75
487,2.25
488,4.0
489,1.5
490,83783.0
491,8.0
492,6.0
493,9.0
494,7.0
495,1.6666666666666667
496,1.25
497,4.0
498,3.7142857142857144
499,1.25
500,67.28571428571429
501,2.7777777777777777
502,4.142857142857143
503,91735.85714285714
504,2.0
505,1.0
506,3.0
507,2.0
508,1.6666666666666667
509,2.6666666666666665
510,1.6666666666666667
511,3.0
512,24.214285714285715
513,1783.0
514,7.8
515,1.2
516,8.0
517,7.0
518,11.0
519,1.0
520,3.0
521,29114.25
522,7.0
523,491.1111111111111
524,1.3333333333333333
525,24.0
526,3.8
527,2.3333333333333335
528,1.0
529,4.0
530,6.0
531,1.8571428571428572
532,5.0
533,1.0
534,6.0
535,5.0
536,6.0
537,3.0
538,7.0
539,2.2
540,1.6
541,9.0
542,8.0
543,4.0
544,7.0
545,4.0
546,1.6666666666666667
547,4.0
548,22.714285714285715
549,10.0
550,7.25
551,12.0
552,4.666666666666667
553,10.0
554,42.7
555,8.0
556,1.1666666666666667
557,1.1666666666666667
558,1.0
559,1.2
560,2.0
561,8.5
562,16.0
563,1.25
564,4.0
565,4.0
566,3.5
567,5.0
568,4.0
569,1.3333333333333333
570,1.75
571,5.0
572,6.0
573,3.6
574,2.5
575,10.6
576,2.5
577,2.0
578,4.333333333333333
579,9.0
580,4.0
581,4.8
582,9712.0
583,2.3333333333333335
584,6.0
585,8.0
586,8.0
587,2.6666666666666665
588,12.0
589,3.0
590,1.3333333333333333
591,99.5
592,1.0
593,8.0
594,2.5
595,5.0
596,5.0
597,6.0
598,5.0
599,16926.0
600,4.0
601,4.333333333333333
602,4.0
603,7.0
604,11.375
605,12.0
606,5.0
607,2.0
608,7.0
609,1.6666666666666667
610,1.1428571428571428
611,7.0
612,2.3333333333333335
613,1.6666666666666667
614,4.0
615,4.0
616,16.5
617,20.0
618,39774.8
619,9.0
620,1.5
621,6.0
622,9.5
623,12.0
624,3.8
625,3.0
626,4.0
627,3.0
628,1.3333333333333333
629,4.0
630,4.0
631,2.3333333333333335
632,9.0
633,8.0
634,1.25
635,2.0
636,4.0
637,2.5
638,1.5
639,2.0
640,1.3333333333333333
641,1.0
642,1.25
643,2.3333333333333335
644,60.0
645,1.5
646,6.0
647,3.0
648,34.666666666666664
649,4440.666666666667
650,5.0
651,10.0
652,2.5
653,5.0
654,7.0
655,1.3333333333333333
656,8.0
657,1.4444444444444444
658,30.833333333333332
659,2.25
660,505.125
661,13.428571428571429
662,5.0
663,6.5
664,4.571428571428571
665,3.0
666,225.5
667,71291.2
668,5.0
669,2.5
670,4.0
671,9.75
672,2.0
673,96085.66666666667
674,3.0
675,4.0
676,2.5
677,1.0
678,4.0
679,4.0
680,4.0
681,5.0
682,7.0
683,54.285714285714285
684,4.5
685,11.0
686,2.5
687,4.0
