,error
0,1.2231061618155334
1,1.8440000199724713
2,3.7338716322839285
3,1.6696846590205356
4,4.7709845693649
5,1.7211949542462557
6,1.2611694337003718
7,1.1035150044325137
8,1.3646966123615654
9,1.6929154801434594
10,1149.0
11,1.5704956740902325
12,1.2414995376476117
13,3.794401021666528
14,1.147275647726257
15,1.5799877631237407
16,2.462963588409944
17,2.3009550531706693
18,9.852488988871446
19,1.5675675675675675
20,2.415843015977544
21,1.0105337062313766
22,1.456499376813093
23,4.651460383719139
24,1.0789304281406487
25,1.0988846007501223
26,1.2605757658073866
27,5.355036606766198
28,1.2424242424242424
29,14.382960664829076
30,1.2913369031534678
31,2.654796850011134
32,1.2441898091792918
33,1.2098449385605616
34,1.381223025493287
35,2.2934004024144867
36,1.0209699104380028
37,1.0414061989656083
38,1.3385056052792248
39,1.0717647769925154
40,1.9890373430450616
41,2.368307876284177
42,1.00569162191346
43,1.1131986117592965
44,6.422652947643822
45,1.444015261073961
46,3.1588029971610743
47,6.17143303641194
48,1.2401120448179273
49,1.5516855286451816
50,1.6582747595272775
51,3.4134260039139592
52,5.627659574468085
53,1.7104183658300423
54,1.152178235879559
55,1.2577021149352032
56,1.4213867357087602
57,2.6922320550639136
58,3.181839379400027
59,1.086604706930877
60,1.0857638108068781
61,1.1615093471818552
62,1.0335002585412698
63,2.021445781533131
64,7.421508111215127
65,9.862108079065047
66,2.353846153846154
67,1.2015020553051436
68,1.1576960166319095
69,1.3382860973309993
70,8.515362809779054
71,1.1006727290432476
72,2.815981848697706
73,1.2
74,2.9633332072728495
75,1.0859786395928823
76,6.955538376149699
77,1.4531990225498634
78,4.916751361033501
79,1.2598164780888825
80,1.6016096722550446
81,3.81805783823478
82,1.0553349357922928
83,1.5369578047903214
84,1.3380107453782102
85,1.9284310772628832
86,1.1335551209448866
87,1.713682053283888
88,1.1517584849874054
89,1.1274872217374101
90,1.2986168185833036
91,1.128206897119816
92,53.41374570446735
93,30.271484375
94,13.35971059993655
95,1.4191433435794079
96,1.9953304258109068
97,1.3186764656867647
98,2.4849026970712593
99,5.250026397381379
100,1.1777609291036775
101,10.333452628277522
102,2.153883869160188
103,14.455149994437784
104,9.664832178997878
105,1.731731749558125
106,12.420689655172414
107,1.2110391812808827
108,1.3315173370996432
109,1.7983506619792056
110,2.669640778958802
111,2.007360797815505
112,1.1285042492232928
113,2.760869565217391
114,3.5023074289495697
115,18.74165709603715
116,2.228501827040195
117,6.6987855625713415
118,1.0805431589575043
119,1.335500133040739
120,3.4252857770938667
121,1.0458325259779362
122,1.4125823069349197
123,1.0784960779010009
124,26.93577981651376
125,2.470208615841611
126,1.600774308177477
127,2.109147920531849
128,2.8391289887474365
129,7.01
130,73.71660181582361
131,1.0693200637168925
132,1.0827706504613999
133,13.986860628812764
134,1.468909388839547
135,1.1724638568695058
136,1.139531768468466
137,27.443243798865453
138,1.0335116008928327
139,1.0487799836585414
140,11.30393525415503
141,1.1150844649574847
142,9.236054287232859
143,11.47078086312931
144,4.025595238095238
145,1.125572643259736
146,3.1973376957092405
147,1.7220003044937948
148,1.0158301057408652
149,1.2408985657721798
150,1.4747116341464757
151,1.4192207512707604
152,1.0626113841166998
153,4.774199281930966
154,11.735
155,1.3526104417670683
156,554.1428571428571
157,1.0689655172413792
158,1.1370250087607165
159,1.2013724573560172
160,1.5022165879025748
161,1.1558156096960532
162,2.2888778453448664
163,1.084109796262517
164,1.4415070097031757
165,12.5
166,1.1300219293860438
167,2.361801652269041
168,1.2884159675861524
169,1.2888546085615118
170,1.0676697676967999
171,7.966618251643239
172,1.8999554275153558
173,2.9894736842105263
174,1.2054426155858367
175,1.163527823182432
176,2.218289252573059
177,3.772277227722772
178,3.406978396077684
179,8.1875
180,1.1118291025710714
181,3.880761190450707
182,1.2831254473439155
183,1.740719439535262
184,1.0771090963983272
185,1.9003115264797508
186,1.271827921206083
187,243.04537671232876
188,1.2840357437712155
189,7.326525076941593
190,1.1290813566980509
191,8.500556184484871
192,1.074091662270611
193,1.105679048127987
194,1.012741688090043
195,4.953672921425793
196,1.5529422073921781
197,24.99308281065963
198,2.7334786245762337
199,1.2138246444829677
200,1.2057145308679051
201,1.5794136157353438
202,1.31526350355894
203,15.12451009948749
204,68.51153846153846
205,1.4404417049775045
206,1.0908121861717193
207,1.235121004892305
208,3.8333333333333335
209,1.073589410498131
210,4.0834359544232735
211,2.9225581089337456
212,33.494837261503925
213,2.20080432225376
214,1.0552360755940873
215,1.531006952681553
216,1.7565393107061333
217,1.5485650548446512
218,1.0734977797918575
219,1.2678857166663484
220,1.1769499409176714
221,1.1159928207646914
222,4.601250601250602
223,1.141053995134435
224,3.679970631424376
225,1.1211170695380204
226,1.0475983308581684
227,1.1378645077392353
228,1.1527603901553192
229,1.0419501295285367
230,1.1650263715948017
231,4053.0
232,1.1634449204307087
233,1.0415509154556992
234,5.635333065810594
235,1.063865427230313
236,1.355357565911937
237,15.406886858749122
238,1.2637987012987013
239,3.4871794871794872
240,1.1568143000570352
241,6.986291193949216
242,1.2894943926326297
243,2.1113353324069335
244,2.7850868892557457
245,1.0794364595081793
246,1.8091641357454114
247,1.0384667647010697
248,1.6583790312617372
249,1.340089188527095
250,1.4127656570161309
251,1.7009435090479936
252,14.079856948032418
253,19.987578389144918
254,1.2343837901292058
255,1.210339932979206
256,1.2483043705100936
257,1.3835316217908578
258,1.306013152077668
259,8.600353944713836
260,1.8720003687561637
261,1.196310807035326
262,2.67401985486797
263,1.3368602398231342
264,2.6889867841409694
265,1.0221722060466754
266,1.1983641093614505
267,1.2553435911717608
268,13.127502482396615
269,1.6554703909261603
270,1.0674217464502398
271,160.0
272,7.5057630742988515
273,1.057000920498214
274,1.540330211015441
275,1.0532200338265971
276,1.7388652174959678
277,109.24
278,1.0826951794697366
279,6.045332064323944
280,2.444828127784532
281,1.073140906050097
282,4.034574468085107
283,5.9452466552719985
284,2.6311859561321347
285,2.2564197714116077
286,3.649969872262946
287,1.058740253176448
288,9.219638538331912
289,1.096355399283251
290,22.26284145139681
291,1.8758743268361135
292,1.0968358307867228
293,72.27301587301588
294,16.65148136349156
295,28.889349294045427
296,1.0737521774831207
297,217.0
298,1.1205212654500296
299,1.2561271209264746
300,4.976073187895848
301,1.001407063458562
302,14.094594594594595
303,1.6546914547967664
304,1.155989248334443
305,11.881404238330518
306,1.3245785709417959
307,383.9836065573771
308,1.0764608403900395
309,2.5404710768106513
310,1.786624203821656
311,1.0968730594883258
312,1.05808231730033
313,1.2470779765946107
314,1.0620459462115197
315,1.9156478301041489
316,227.53488372093022
317,1.1656213889049896
318,3.5576923076923075
319,135.0
320,3.755324463012579
321,6.612021857923497
322,3.17517407970242
323,1.6555413775089347
324,13.471455497521188
325,1.3890683082047164
326,1.2760971298407005
327,307.8333333333333
328,1.28192789699143
329,7.75
330,1.4000207437797472
331,25.052681235738106
332,1.8314141758639724
333,4.192217344286011
334,1.1363134579151035
335,1.2075042993381624
336,1.0539718897272152
337,361.86300758589914
338,5.949061733424252
339,1.6018683542507817
340,1.0455522097521186
341,8.051646750442083
342,5.7226141359726945
343,1.4892944605002507
344,1.3522803158063086
345,1.053964424202323
346,2.4395869761096085
347,2.0462647778552956
